year_built,property_id,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1950,4356156048,12197,1822,1,1,3,234192.1707274125,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1964,1472924320,7405,1824,2,0,3,701604.165817349,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
2006,5416057256,37292,1728,3,1,4,352051.29532404616,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1
1971,2836926875,72745,1872,3,2,3,532575.9251274393,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1960,2773184933,7148,1363,2,0,3,581791.4685381014,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2009,1626562753,5764,3022,3,2,4,495973.3704267919,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
1981,5769551073,125453,1502,2,2,3,621575.4363712235,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
1994,4963311154,19166,2630,3,0,4,168798.8300497242,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0
2019,9038709442,2370,1848,3,2,3,264205.4386292041,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
2020,9922392645,23087,2670,3,3,4,315159.1268387802,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1
1988,7106649355,6098,2774,4,2,6,333790.2440589154,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
2020,3658033366,2526,1517,3,1,2,306752.632479663,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
1963,5621068610,47916,1850,3,2,4,321857.4254205781,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1
2006,6149461949,2614,2217,3,2,3,621575.4363712235,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
1979,1427958024,14545,1158,1,0,2,495973.3704267919,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1925,3327428879,4356,2508,3,4,6,679592.8523411672,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
2019,7854450074,16988,2080,2,2,4,301804.4686227,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0
2003,4947503211,13068,2595,3,2,3,234192.1707274125,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
2020,9381495658,2178,1258,3,1,2,234192.1707274125,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1999,6403304649,12632,1137,2,0,3,315159.1268387802,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1977,2573105096,6534,1040,1,2,3,420207.8532951932,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2004,5830508890,871,1209,3,0,3,315159.1268387802,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
1976,1590965981,7841,1361,2,2,3,532575.9251274393,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0
1960,3849246628,14985,3386,4,0,4,306752.632479663,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0
1900,4553746891,8712,5553,6,0,12,358215.94070645963,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1887,5807760862,2614,1222,2,0,3,188188.8923140408,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
1920,4054897953,2404,1052,1,0,3,1620605.566436008,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1999,7504822316,6970,1740,2,1,2,333790.2440589154,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0
1971,1012598554,6534,1056,2,2,3,532575.9251274393,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2001,5686912424,8276,1002,2,0,3,446806.7154337181,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
1965,4484481091,7405,1000,2,1,3,260039.7894339016,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1
2000,6846140459,7405,1066,2,0,3,264148.85700978234,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1928,8054613308,8159,2018,2,2,4,262575.01710244524,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0
1984,5493415239,3485,928,2,0,2,315159.1268387802,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
1939,3405210758,5227,1398,2,1,3,260039.7894339016,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1984,5493415239,3485,928,2,0,2,315159.1268387802,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
1929,4252012962,4966,882,1,0,2,168798.8300497242,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1
1902,7375448812,22216,6524,5,4,6,376289.33746527263,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1985,1503220706,2209,1072,2,0,3,495973.3704267919,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
1855,3655153434,1307,2160,2,0,3,260039.7894339016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1951,3047981848,8712,1810,2,0,3,358215.94070645963,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1930,2191318360,6521,1544,1,1,2,581791.4685381014,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1930,7689000356,6534,584,1,1,1,496335.1539341282,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1986,6618333570,33105,4148,4,0,6,899684.7992089129,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
1940,8261346232,11761,2184,2,3,4,301804.4686227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,8754645631,5001,952,2,1,2,262575.01710244524,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1925,1994044138,3049,2198,2,0,3,420207.8532951932,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
1920,8614963827,4033,1359,2,0,2,267960.6541678921,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
1977,2396308526,7405,1352,2,2,3,420207.8532951932,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1987,7435305681,29621,3288,4,2,4,178614.57760867866,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
1963,8088083505,7754,1493,2,2,4,376289.33746527263,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1
1965,7596581461,7200,2156,2,2,4,262575.01710244524,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0
1965,5163763708,10019,1746,2,1,4,321857.4254205781,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1
1986,8399554728,11238,1470,2,2,3,267960.6541678921,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
1957,1338419336,30300,2238,2,2,2,495973.3704267919,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
1984,4153783118,436,1540,3,0,2,260039.7894339016,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1
1928,4992737614,2178,1080,1,0,2,264205.4386292041,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1940,1855795715,4791,1719,1,1,3,420207.8532951932,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0
1965,4484481091,7405,1000,2,1,3,260039.7894339016,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1
1902,7375448812,22216,6524,5,4,6,376289.33746527263,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1900,5630275743,39204,3800,3,0,4,899684.7992089129,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
1905,3369025528,4792,2226,2,2,5,260039.7894339016,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0
2021,9575838919,8276,1748,3,0,3,393947.6442625266,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1960,4432887051,7200,1609,2,1,3,245381.69562901856,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1
1993,8991935037,10951,2754,3,3,3,398771.7476734612,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0
2002,2410748299,2614,1260,3,1,3,532575.9251274393,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
2009,5234923926,12031,2056,3,1,6,352051.29532404616,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0
1965,6723487327,784,786,1,1,1,544855.9814078703,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0
1978,8395493659,12589,1440,2,2,0,218214.8821925359,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
1900,4688508609,871,1528,1,0,4,264205.4386292041,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
1978,2244383594,6399,1378,2,2,4,545607.6570640807,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
2006,4160933379,1132,1132,2,1,2,1620605.566436008,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1
1981,6255889291,1917,1900,3,0,3,544855.9814078703,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1
1966,9066470079,4356,1434,1,0,2,178614.57760867866,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1943,1370982891,6250,1717,3,2,3,701604.165817349,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1923,2676756204,4791,1634,1,1,2,420207.8532951932,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0
1953,4248840313,12197,1177,1,2,2,260039.7894339016,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1
1976,2276832355,6970,1428,2,2,3,532575.9251274393,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1930,4890323804,10019,1800,1,0,3,367998.7067254681,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1926,6866684449,74052,4569,5,2,4,544855.9814078703,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1950,8229073833,8899,850,1,1,2,333790.2440589154,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1
1957,8945680329,11761,1446,2,0,3,301804.4686227,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1930,3283604131,3049,1440,1,0,3,679592.8523411672,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1950,5240026761,9757,936,1,0,3,544855.9814078703,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1986,2392441948,7675,2800,3,2,3,581791.4685381014,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
1905,9099606288,3485,3120,3,0,5,260039.7894339016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,4789737064,6534,1044,1,1,3,234192.1707274125,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1971,1012598554,6534,1056,2,2,3,532575.9251274393,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1945,9397126766,2750,1826,2,0,3,188188.8923140408,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1974,9099119141,740520,3339,3,0,3,178614.57760867866,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
2021,9025673962,27831,2770,3,2,4,321857.4254205781,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0
1953,1748132633,7405,1516,2,2,3,545607.6570640807,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
1975,2727107811,61855,3182,5,3,6,532575.9251274393,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
1955,3066968768,19166,900,2,3,2,152636.0884458453,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1925,1994044138,3049,2198,2,0,3,420207.8532951932,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
1934,1031589143,16117,1308,2,0,2,532575.9251274393,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1978,6737309203,15028,1590,3,2,4,899684.7992089129,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
1968,7869477389,8276,2030,3,2,4,496335.1539341282,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
2002,7552164890,10890,2403,3,2,4,496335.1539341282,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1
1928,3204883939,6098,3212,4,2,5,679592.8523411672,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0
1954,8810983023,9017,720,1,0,2,218214.8821925359,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
1939,8586763935,5968,1600,1,2,3,376289.33746527263,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
1929,5406788767,3960,1496,2,0,3,188188.8923140408,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
2009,3171654395,13504,1962,3,2,3,264205.4386292041,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0
1977,6570263286,40946,1865,2,0,4,315159.1268387802,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
1971,7152486220,10019,1747,2,0,3,178614.57760867866,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,8012957840,6534,1672,2,2,3,267960.6541678921,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1
2019,7456744662,5532,1323,3,2,4,218214.8821925359,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1920,3766657904,5240,1548,2,0,4,245381.69562901856,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1965,7596581461,7200,2156,2,2,4,262575.01710244524,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0
1920,9658621486,4857,2062,2,2,6,679592.8523411672,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
