year_built,property_id,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1990,2242918850,5775,1899,3,2,4,545607.6570640807,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
1942,3636640453,4922,1076,1,0,2,168798.8300497242,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1939,3405210758,5227,1398,2,1,3,260039.7894339016,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1910,5157172037,1612,1358,2,0,4,188188.8923140408,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2001,5436736919,2100,1296,1,0,3,188188.8923140408,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1955,8025245667,6970,754,1,0,2,301804.4686227,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,7117799851,12632,1888,2,0,4,178614.57760867866,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
1924,4910881123,4792,825,1,0,2,234192.1707274125,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1981,1355447303,17424,2256,2,2,3,420207.8532951932,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0
1923,7434291216,16466,1527,2,1,3,376289.33746527263,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
2001,2473143379,4499,1522,2,2,3,581791.4685381014,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1952,1573669785,14375,1793,2,2,4,420207.8532951932,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2000,3901717075,333887,3587,3,2,4,306752.632479663,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0
1954,5888211489,7754,864,1,0,3,374434.8753120433,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
2000,9408338129,4994590,3402,2,0,3,306752.632479663,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
2004,6563723524,17860,3616,3,2,4,446806.7154337181,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
2020,9153959538,1307,1518,3,2,3,532575.9251274393,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
2019,9109689963,5227,1246,2,0,3,621575.4363712235,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1985,3295499823,10454,1920,3,1,4,260039.7894339016,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0
1913,3020327370,8712,2498,3,0,7,358215.94070645963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1986,7188032364,9583,2590,3,3,3,496335.1539341282,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2008,8351316336,28288,4398,5,4,4,587185.5834040372,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
2005,2767231645,8880,3135,4,3,4,581791.4685381014,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
2016,2211701085,6098,1884,2,2,4,420207.8532951932,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1976,9097826047,13939,3572,4,11,8,420207.8532951932,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1920,7580597887,6970,1428,1,0,3,301804.4686227,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1984,7231745315,13068,2673,4,2,4,496335.1539341282,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1965,3199255710,470,470,1,0,1,1620605.566436008,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1948,7481082933,8350,916,1,1,2,262575.01710244524,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1950,9074500058,3485,1716,2,0,4,260039.7894339016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1930,4890323804,10019,1800,1,0,3,367998.7067254681,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1923,3382602070,2178,1440,1,0,3,264205.4386292041,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
2022,9702416423,4356,3050,4,2,4,178614.57760867866,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0
1978,8395493659,12589,1440,2,2,0,218214.8821925359,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
1910,3508408345,2178,1000,1,0,3,168798.8300497242,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1
1999,2176753979,7205,2106,3,2,4,495973.3704267919,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
1960,3073701125,9017,1826,2,0,3,168798.8300497242,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
1966,7164775054,11326,1750,2,0,3,301804.4686227,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1937,6687434745,10193,1448,2,0,3,411832.1076923463,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1962,8255842397,10285,1464,2,2,3,262575.01710244524,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
1924,5383284565,5075,1236,2,0,3,446806.7154337181,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
2006,5834621017,6970,1706,2,2,3,315159.1268387802,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
1984,5273617256,5301,1360,3,0,2,321857.4254205781,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
2013,6415608737,2312,2980,4,2,3,899684.7992089129,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
1922,4550786191,6970,2970,3,3,6,358215.94070645963,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1954,3948605030,13504,1465,2,0,3,168798.8300497242,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1
1971,1489826213,6970,1867,2,2,3,532575.9251274393,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
1993,6450953511,10019,1369,3,0,3,264148.85700978234,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1941,7821191367,8407,1377,2,0,3,218214.8821925359,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
1917,8248639951,7144,840,1,0,2,218214.8821925359,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2008,8177446777,9845,1761,3,2,3,218214.8821925359,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1958,1273990588,9118,1481,2,1,3,581791.4685381014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,3943494308,2597,1274,2,0,3,1620605.566436008,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
1969,1387377338,8276,2160,3,0,7,420207.8532951932,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1950,6634350892,21371,1536,2,0,3,446806.7154337181,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0
1983,5228770552,5850,1272,2,1,3,899684.7992089129,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
2021,9086178981,871,1280,3,0,2,413355.18027670914,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1952,1573669785,14375,1793,2,2,4,420207.8532951932,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1932,3480763712,14893,6225,7,2,5,679592.8523411672,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
1920,9658621486,4857,2062,2,2,6,679592.8523411672,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
2023,9298040019,7200,3391,4,3,5,545607.6570640807,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1923,3907042132,4617,1815,2,0,3,168798.8300497242,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1
1964,1269715612,11678,1764,2,2,4,545607.6570640807,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0
1925,5588033099,2814,2885,5,0,4,446806.7154337181,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
2018,9514481527,9583,5526,5,2,6,544855.9814078703,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0
2018,6292843165,10376,1943,2,2,2,321857.4254205781,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1
1977,6175784056,1206,1518,3,0,3,899684.7992089129,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
1977,2591419335,37462,2903,3,2,3,581791.4685381014,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1900,3323159008,1742,2601,3,0,3,264205.4386292041,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
1999,2176753979,7205,2106,3,2,4,495973.3704267919,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
1979,3484546769,8276,1921,2,0,3,168798.8300497242,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1
1993,8991935037,10951,2754,3,3,3,398771.7476734612,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0
2007,3405322923,7118,2646,3,0,6,679592.8523411672,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2020,9046483392,2724,1508,2,2,2,701604.165817349,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0
1985,2099117648,12053,1190,2,2,3,495973.3704267919,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1
1951,7694715772,5271,992,1,1,2,376289.33746527263,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1
1977,8314573523,6050,3535,4,2,3,262575.01710244524,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
2004,6773104713,14504,3085,3,0,5,321857.4254205781,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
2023,9883552096,10019,2147,3,3,3,262575.01710244524,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
1991,1251345276,10019,1311,2,2,3,420207.8532951932,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0
1895,4301754069,6098,2315,3,0,6,358215.94070645963,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2021,9575838919,8276,1748,3,0,3,393947.6442625266,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1911,7913455543,6882,938,1,0,2,218214.8821925359,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1929,7301272191,6098,1872,2,2,4,496335.1539341282,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
1953,7429199141,26484,1558,3,2,3,218214.8821925359,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0
1952,4191728039,12632,2250,2,0,3,168798.8300497242,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1
1930,1871886378,6098,1424,2,1,3,420207.8532951932,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0
1960,2773184933,7148,1363,2,0,3,581791.4685381014,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1949,4957632210,7492,1015,3,0,3,168798.8300497242,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
1969,8053708531,8985,2740,3,2,4,333790.2440589154,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0
1969,6290688255,9350,2400,3,0,5,899684.7992089129,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1
2001,6409080870,4792,1648,2,2,3,315159.1268387802,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0
2005,6270915016,1307,1529,3,0,3,544855.9814078703,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
2019,1981391354,40376,3195,4,3,4,495973.3704267919,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
1990,1220020515,5101,1044,2,2,2,421221.9872680061,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
1929,4683825605,7405,3834,3,3,7,358215.94070645963,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1996,7691862344,13939,4006,4,3,6,333790.2440589154,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
1941,2818366785,13068,1891,3,2,3,420207.8532951932,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
1993,2989298877,5528,1350,2,2,3,581791.4685381014,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
2007,2871361125,3920,1615,2,2,3,532575.9251274393,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1
1985,2099117648,12053,1190,2,2,3,495973.3704267919,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1
1973,1188314260,8006,1215,2,2,3,581791.4685381014,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1922,3261186082,4792,1354,2,0,3,168798.8300497242,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
1980,2609577082,13068,1999,2,2,3,420207.8532951932,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0
1959,4569472599,15246,1394,2,2,3,234192.1707274125,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1983,5228770552,5850,1272,2,1,3,899684.7992089129,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
2005,5763584946,4497,1848,2,2,3,321857.4254205781,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0
1905,1662029686,43560,1409,2,1,2,701604.165817349,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1
1972,2552020246,2178,1072,1,2,2,545607.6570640807,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0
1950,3934098520,5663,800,1,0,2,152636.0884458453,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1979,1427958024,14545,1158,1,0,2,495973.3704267919,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1983,6151917495,701,700,1,0,1,525553.4848938826,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
1949,2667779605,5500,790,1,0,2,701604.165817349,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1955,6513905808,10454,1296,2,0,2,315159.1268387802,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1
1979,2200527785,6098,2296,3,3,3,420207.8532951932,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0
2011,1823433926,4275,3529,4,2,4,701604.165817349,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1999,9491336986,43560,2570,3,2,4,321857.4254205781,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
2016,8091909269,8202,2165,2,2,4,262575.01710244524,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
1967,5370120180,11761,1973,3,1,4,621575.4363712235,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
2009,3171654395,13504,1962,3,2,3,264205.4386292041,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0
1988,6106004175,7841,960,2,0,2,315159.1268387802,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
1976,8556489499,9727,1921,3,2,3,262575.01710244524,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
1935,9536548761,6297,526,1,0,1,1620605.566436008,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
1896,6583397741,1612,1641,1,0,5,188188.8923140408,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1920,6058401380,2662,1343,2,0,3,446806.7154337181,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
2003,5132945720,71003,4443,5,3,4,621575.4363712235,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0
1989,2678310428,6098,1620,2,2,3,532575.9251274393,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1988,4853549319,3920,1488,3,2,3,264205.4386292041,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
1998,5760074151,50094,2857,3,2,3,621575.4363712235,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
1910,6290125108,1530,1269,1,0,4,188188.8923140408,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1966,9066470079,4356,1434,1,0,2,178614.57760867866,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,4853549319,3920,1488,3,2,3,264205.4386292041,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
1947,1856122884,4356,1640,2,0,4,420207.8532951932,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0
1987,4198618753,3049,1476,3,2,2,264205.4386292041,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1
1967,8656536510,12632,1892,2,0,4,178614.57760867866,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1940,5139844902,18731,2470,4,1,3,446806.7154337181,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1
1922,7935106811,5053,1640,2,1,3,376289.33746527263,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1
1950,7056113344,15682,1471,1,0,3,178614.57760867866,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1989,7532334823,4792,1475,2,0,2,178614.57760867866,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1992,2359528906,74488,3040,3,6,3,495973.3704267919,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0
2001,6409080870,4792,1648,2,2,3,315159.1268387802,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0
1940,3523646630,3920,728,1,0,2,264205.4386292041,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
1947,4987929421,10454,1203,2,0,3,168798.8300497242,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
1920,3192790789,5575,2964,3,0,8,1620605.566436008,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0
2008,5871119812,1307,1652,3,1,3,621575.4363712235,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
1920,4150150346,6098,794,1,0,2,245381.69562901856,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
1984,5273617256,5301,1360,3,0,2,321857.4254205781,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
2004,8782779002,9583,2488,2,2,3,178614.57760867866,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
1929,3543135527,21366,6551,5,2,6,679592.8523411672,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
2003,9411148899,14810,2238,2,3,3,267960.6541678921,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0
1956,1036745234,6970,1360,2,2,3,420207.8532951932,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
1961,1620284404,21344,1084,1,4,3,495973.3704267919,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1
1956,2757984281,6887,1411,2,0,4,581791.4685381014,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1989,3391199956,3049,1504,2,2,2,234192.1707274125,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
1973,2194569240,9344,1994,2,2,3,581791.4685381014,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
1907,7904075898,5968,1439,1,0,3,218214.8821925359,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
2006,6008332767,9583,2233,2,0,3,264148.85700978234,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1988,3458316927,2126,2126,3,1,2,1620605.566436008,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
1957,3483921135,8712,1092,1,0,3,264205.4386292041,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
1870,3822738378,1307,2000,3,0,4,260039.7894339016,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
1958,8943218361,15682,2471,3,2,4,496335.1539341282,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
1985,1503220706,2209,1072,2,0,3,495973.3704267919,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
1980,1793736762,12197,2110,2,2,3,581791.4685381014,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
1994,3230593556,2178,1600,3,1,3,264205.4386292041,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1996,5679861396,14375,1952,3,2,4,621575.4363712235,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0
1994,6260987299,52272,2080,2,2,3,321857.4254205781,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
1971,2836926875,72745,1872,3,2,3,532575.9251274393,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1962,7463846561,67954,1833,2,2,3,178614.57760867866,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
1965,3695040158,30231,1310,2,0,2,306752.632479663,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
1994,7558916813,15682,2124,2,0,4,178614.57760867866,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0
1920,7580597887,6970,1428,1,0,3,301804.4686227,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1979,7098147859,27835,3300,4,2,5,472159.7166959104,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
1956,3053722729,6534,998,1,2,2,234192.1707274125,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0
2000,6451286001,5227,1543,3,0,3,621575.4363712235,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0
1980,2609577082,13068,1999,2,2,3,420207.8532951932,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0
1955,3394787299,12632,2215,2,0,3,264205.4386292041,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1
1983,3809024878,7876,4952,2,2,2,679592.8523411672,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0
1975,2521298343,1307,1240,2,0,2,532575.9251274393,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1977,2396308526,7405,1352,2,2,3,420207.8532951932,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1999,2808394095,924,858,1,1,1,402072.34216870624,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
1950,4356156048,12197,1822,1,1,3,234192.1707274125,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1915,5659664478,8712,4179,5,0,6,621575.4363712235,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
2000,6451286001,5227,1543,3,0,3,621575.4363712235,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0
1977,3958077396,7405,1467,3,0,3,168798.8300497242,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1
1997,9270637132,443441,2762,2,0,4,267960.6541678921,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
1950,1044663436,5998,1781,2,2,4,545607.6570640807,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0
1920,9658621486,4857,2062,2,2,6,679592.8523411672,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1952,4078885635,9583,2160,2,1,4,234192.1707274125,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
1941,8062716251,5532,1262,1,1,2,376289.33746527263,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
1922,8600539097,6621,1078,2,1,2,218214.8821925359,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1
1959,4569472599,15246,1394,2,2,3,234192.1707274125,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1930,3337513428,1743,933,1,0,3,679592.8523411672,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1973,2194569240,9344,1994,2,2,3,581791.4685381014,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
1966,7164775054,11326,1750,2,0,3,301804.4686227,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1926,7505474027,4751,950,2,1,2,333790.2440589154,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
1985,6425708970,1742,1526,3,0,2,621575.4363712235,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0
1977,2573105096,6534,1040,1,2,3,420207.8532951932,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2014,7743740661,131987,3529,4,3,4,301804.4686227,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0
1920,6058401380,2662,1343,2,0,3,446806.7154337181,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
1925,2343416842,6098,1766,2,0,3,701604.165817349,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
1991,5196961029,6970,1248,2,2,3,315159.1268387802,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
1975,7492989233,7841,1524,2,2,3,333790.2440589154,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1
1926,3078599931,6098,3696,2,2,4,358215.94070645963,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1969,7877200673,8712,1700,2,0,4,301804.4686227,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1999,5486134225,31363,2638,4,2,4,264148.85700978234,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
1956,5115561662,13464,1341,2,1,3,352051.29532404616,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
1991,1251345276,10019,1311,2,2,3,420207.8532951932,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0
1887,5807760862,2614,1222,2,0,3,188188.8923140408,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
1900,3961078758,4540,3601,3,0,7,1620605.566436008,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0
1980,1517088712,6534,1289,2,1,3,420207.8532951932,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0
1915,5572856140,1310,1228,2,0,4,188188.8923140408,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
1964,3250787813,12632,2218,2,0,3,152636.0884458453,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0
1986,2183324157,8379,1352,2,2,3,495973.3704267919,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
2009,5234923926,12031,2056,3,1,6,352051.29532404616,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0
1976,4230356406,7841,2061,3,1,4,260039.7894339016,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
1960,3992436475,6482,1517,2,2,3,679592.8523411672,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
1901,7439618807,12197,3857,3,0,4,218214.8821925359,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0
1961,2314134831,17424,2202,3,2,3,581791.4685381014,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1961,6328744302,23522,1584,2,0,3,264148.85700978234,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
1900,3947381889,10019,2074,3,0,6,358215.94070645963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,2684450658,58806,2166,2,3,3,495973.3704267919,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0
1952,2405999689,5663,1152,2,2,3,545607.6570640807,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0
1977,4213073232,6098,1040,1,0,3,260039.7894339016,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
1979,8024740299,1742,1320,2,1,2,333790.2440589154,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0
1976,8728854388,1307,720,1,1,2,333790.2440589154,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0
1940,4479931465,4792,812,1,0,2,168798.8300497242,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1902,7375448812,22216,6524,5,4,6,376289.33746527263,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1987,4198618753,3049,1476,3,2,2,264205.4386292041,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1
1978,6259706439,12197,1770,2,1,4,321857.4254205781,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
1923,5464302681,1826,1361,2,1,2,899684.7992089129,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1
1993,7106425973,7667,2849,3,2,4,376289.33746527263,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
