,year_built,tags,permalink,status,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city
24,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
25,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
26,,,9951-Stephen-Richards-Memorial-Dr_Juneau_AK_99801_M95216-39574,sold,,9521639574,,,2023-08-21,,,,,,,99801,Alaska,Juneau
27,1969.0,"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",11909-Glacier-Hwy-Apt-105_Juneau_AK_99801_M74123-09719,sold,415000.0,7412309719,2958925334,,2023-08-04,,,950.0,1.0,,2.0,99801,Alaska,Juneau
28,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
29,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
30,1998.0,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard']",501-Moorfield-Ln_Montgomery_AL_36117_M88465-41030,sold,129900.0,8846541030,622475855,,2024-01-16,129900,11761.0,1478.0,2.0,2.0,3.0,36117,Alabama,Montgomery
31,1945.0,"['city_view', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more']",2326-Winona-Ave_Montgomery_AL_36107_M77279-81021,sold,88000.0,7727981021,2961522977,https://ap.rdcpix.com/a5fe1391acf35d43ee6d825ce86f8115l-m2469028399s-w1024_h768.jpg,2024-01-16,88500,6534.0,1389.0,2.0,1.0,4.0,36107,Alabama,Montgomery
32,1969.0,"['carport', 'central_air', 'central_heat', 'dishwasher', 'laundry_room', 'single_story']",115-Lookout-Ridge-Rd_Montgomery_AL_36109_M73209-25131,sold,149000.0,7320925131,619793175,,2024-01-16,145000,17424.0,2058.0,2.0,,3.0,36109,Alabama,Montgomery
33,1955.0,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story']",611-Glenmore-Rd_Montgomery_AL_36107_M72316-04965,sold,68000.0,7231604965,2957379146,https://ap.rdcpix.com/c41ec0e28b89fa84db6d75df3a75895fl-m2353506347s-w1024_h768.jpg,2024-01-16,65000,9712.0,1432.0,2.0,,3.0,36107,Alabama,Montgomery
34,1984.0,"['city_view', 'single_story', 'big_yard', 'fenced_yard', 'ensuite', 'new_roof']",1819-E-Trinity-Blvd_Montgomery_AL_36106_M77006-90979,sold,169999.0,7700690979,2960975584,https://ap.rdcpix.com/1e4bac70e24f789842a6663b5314bb24l-m1823199980s-w1024_h768.jpg,2024-01-12,169000,10890.0,1804.0,2.0,,3.0,36106,Alabama,Montgomery
35,1999.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'furniture']",1112-Sandlewood-Ct_Montgomery_AL_36117_M87985-05230,sold,189900.0,8798505230,2962329566,https://ap.rdcpix.com/61c1ed5b3aaa88ab80efcc49412241afl-m1501411809s-w1024_h768.jpg,2024-01-12,180000,12632.0,1476.0,2.0,,3.0,36117,Alabama,Montgomery
36,2001.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'high_ceiling', 'floor_plan', 'rental_property', 'furniture', 'new_roof']",545-Ridge-Park-Dr_Montgomery_AL_36117_M71177-99851,sold,254999.0,7117799851,2961991525,https://ap.rdcpix.com/686d934c4cdfa68e232633d5f6aeb101l-m1822167428s-w1024_h768.jpg,2024-01-12,260000,12632.0,1888.0,2.0,,4.0,36117,Alabama,Montgomery
37,1962.0,"['single_story', 'fixer_upper']",4275-Sunshine-Dr_Montgomery_AL_36116_M89229-76627,sold,75000.0,8922976627,2952735222,https://ap.rdcpix.com/ef5ee786ae1446e742997757c4150decl-m62694281s-w1024_h768.jpg,2024-01-12,60000,13068.0,1722.0,2.0,,3.0,36116,Alabama,Montgomery
38,1965.0,"['central_air', 'central_heat', 'city_view', 'dishwasher', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'ensuite']",817-Dumont-Dr_Montgomery_AL_36109_M82240-34280,sold,159000.0,8224034280,2962073853,https://ap.rdcpix.com/1ef4821fcf16029021d658c2db0e28b9l-m129105455s-w1024_h768.jpg,2024-01-12,159000,11326.0,1635.0,2.0,2.0,3.0,36109,Alabama,Montgomery
39,1974.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'high_ceiling', 'master_bedroom', 'big_lot', 'ensuite']",1380-Cantelou-Rd_Montgomery_AL_36108_M90991-19141,sold,424900.0,9099119141,2959272543,https://ap.rdcpix.com/43f3585656821593959c92c35f9706efl-b3477118368s-w1024_h768.jpg,2024-01-12,424900,740520.0,3339.0,3.0,,3.0,36108,Alabama,Montgomery
40,,"['horse_facilities', 'rental_property', 'big_lot', 'pond']",3180-E-Old-Hayneville-Rd_Montgomery_AL_36105_M93713-05836,sold,395000.0,9371305836,2947407483,https://ap.rdcpix.com/eb38aea2a104672b0eccd41f7b53dabal-m3977818291s-w1024_h768.jpg,2024-01-12,370000,3397680.0,,0.0,,,36105,Alabama,Montgomery
41,1969.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'swimming_pool', 'corner_lot']",369-Kroy-Dr_Montgomery_AL_36117_M77887-90816,sold,140000.0,7788790816,2962320837,https://ap.rdcpix.com/12a7a90ae37bc922786e1b376ba4cc52l-m1145087508s-w1024_h768.jpg,2024-01-12,140000,14375.0,1576.0,2.0,,3.0,36117,Alabama,Montgomery
42,1954.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'fenced_yard', 'shopping']",3725-Dalraida-Pkwy_Montgomery_AL_36109_M75023-73005,sold,149900.0,7502373005,2962528957,https://ap.rdcpix.com/afc556e71f380177925a6cb62f4d0b9el-m2457081295s-w1024_h768.jpg,2024-01-12,149900,13504.0,1736.0,1.0,,3.0,36109,Alabama,Montgomery
