year_built,property_id,sold_date,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1967,5370120180,2024-01-10,11761,1973,3,1,4,Raleigh,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1993,2870588874,2023-12-21,6534,2573,3,2,4,Carson City,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1
1985,2099117648,2024-01-12,12053,1190,2,2,3,Olympia,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1
2015,8368088914,2024-01-08,8614,2898,3,3,3,Lincoln,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
1952,7218563811,2024-01-10,11718,1222,2,2,3,Des Moines,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1
1972,5709749812,2024-01-16,175011,1379,2,1,2,Richmond,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1
1945,7727981021,2024-01-16,6534,1389,2,1,4,Montgomery,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1941,7480078525,2024-01-09,7013,1490,2,1,4,Des Moines,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0
2003,8146083955,2023-09-26,9583,2066,2,0,3,Antioch,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1
1953,4361286518,2024-01-08,871,1222,1,1,3,Harrisburg,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0
1984,5493415239,2024-01-12,3485,928,2,0,2,Tallahassee,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
1977,4213073232,2024-01-10,6098,1040,1,0,3,Albany,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
1910,3206762368,2024-01-11,9583,1055,1,0,2,Boston,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1
1983,5228770552,2024-01-08,5850,1272,2,1,3,Annapolis,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
1999,2176753979,2024-01-02,7205,2106,3,2,4,Olympia,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
1932,8535656400,2024-01-11,15682,1970,2,3,3,Saint Paul,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1
2005,2767231645,2023-12-26,8880,3135,4,3,4,Phoenix,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
1977,4213073232,2024-01-10,6098,1040,1,0,3,Albany,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
1999,9491336986,2023-12-08,43560,2570,3,2,4,Dover,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
1924,4647341451,2024-01-12,8276,984,2,0,2,Lansing,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
1993,6450953511,2023-07-31,10019,1369,3,0,3,Columbia,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1968,1167690877,2023-10-26,18295,3356,3,2,4,Denver,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0
1986,3421931060,2023-12-22,2614,936,2,1,2,Indianapolis,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
1979,5552823724,2024-01-16,21344,1071,2,0,3,Raleigh,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2003,6855882216,2024-01-08,2178,1364,3,0,3,Atlanta,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1
1930,5911426490,2023-12-29,3001,1402,1,0,3,Hamilton,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1943,1370982891,2023-10-31,6250,1717,3,2,3,Denver,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1917,7343673803,2024-01-11,6447,804,1,2,2,Des Moines,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1
1896,6583397741,2024-01-01,1612,1641,1,0,5,Trenton,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1988,3945568117,2023-09-29,7841,1560,2,2,3,Indianapolis,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
1928,3204883939,2024-01-08,6098,3212,4,2,5,Providence,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0
1958,1273990588,2023-12-22,9118,1481,2,1,3,Phoenix,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,7505474027,2024-01-12,4751,950,2,1,2,Lincoln,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
2009,8821677615,2024-01-12,46609,4145,4,2,3,Edmond,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
1972,3198664898,2023-10-13,871,1296,3,2,3,Columbus,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1
1900,9206691883,2024-01-05,2178,2850,3,0,3,Albany,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1967,4319258911,2024-01-04,8538,2375,2,0,3,Lansing,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2003,3621895033,2023-12-27,25265,2376,2,2,3,Indianapolis,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
1934,1371021166,2023-12-18,8276,660,1,0,2,Carson City,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2007,3405322923,2024-01-04,7118,2646,3,0,6,Providence,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1950,8229073833,2024-01-11,8899,850,1,1,2,Lincoln,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1
1922,4550786191,2023-12-23,6970,2970,3,3,6,Hartford,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1925,7717932943,2024-01-12,10454,3261,3,2,3,Lincoln,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0
1925,6659718392,2023-12-12,1925,840,1,0,3,Trenton,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
1978,2244383594,2024-01-11,6399,1378,2,2,4,Sacramento,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
1955,6115300912,2023-12-29,7250,1134,2,1,3,Dover,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1991,6733823507,2024-01-12,1307,1174,2,0,2,Tallahassee,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1
1928,8858263293,2024-01-12,6098,3106,4,2,4,Saint Paul,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1960,4432887051,2023-11-01,7200,1609,2,1,3,Columbus,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1
1966,9066470079,2024-01-12,4356,1434,1,0,2,Montgomery,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,4963311154,2024-01-09,19166,2630,3,0,4,Lansing,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0
1950,1983590231,2024-01-11,7200,1984,1,2,2,Sacramento,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0
2002,2061098713,2024-01-12,5775,2231,3,2,4,Sacramento,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0
1925,5850675484,2023-12-21,2461,1380,1,0,4,Trenton,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1910,5506403780,2023-12-28,2000,1280,2,1,3,Trenton,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
1934,1031589143,2023-12-18,16117,1308,2,0,2,Carson City,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1925,2343416842,2023-12-04,6098,1766,2,0,3,Denver,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
1987,6244225051,2024-01-08,3206,3206,3,0,3,Atlanta,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
1950,3138565083,2024-01-03,10001,2450,2,2,4,Providence,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0
1979,3358923277,2024-01-12,13939,1028,1,0,3,Lansing,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1961,3681467163,2023-12-07,26484,2548,3,0,4,Frankfort,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0
1900,3947381889,2023-12-22,10019,2074,3,0,6,Hartford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1962,2565921115,2023-11-21,7600,2028,2,1,5,Denver,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
1954,8810983023,2024-01-10,9017,720,1,0,2,Des Moines,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
1967,8656536510,2024-01-08,12632,1892,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1979,5552823724,2024-01-16,21344,1071,2,0,3,Raleigh,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1896,6011221536,2023-12-20,4199,1904,2,2,4,Trenton,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1904,4871525170,2024-01-08,139043520,1848,2,0,4,Albany,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1952,8502336490,2024-01-12,7614,924,1,1,2,Oklahoma City,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2003,6573506797,2024-01-08,1307,1600,3,1,3,Atlanta,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
1992,8536109155,2024-01-08,9560,1861,2,2,3,Lincoln,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1
1958,4303760561,2023-12-07,5998,1200,1,2,3,Columbus,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1964,1472924320,2023-11-09,7405,1824,2,0,3,Denver,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1997,2995689512,2024-01-08,10019,2197,3,2,4,Salem,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
1928,8858263293,2024-01-12,6098,3106,4,2,4,Saint Paul,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1983,5621919948,2023-12-27,1216,1086,2,0,1,Annapolis,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
2016,9425721160,2023-12-29,236966,1494,2,0,3,Frankfort,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1986,8399554728,2023-12-18,11238,1470,2,2,3,Springfield,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
1926,7287321156,2024-01-11,5358,1348,1,2,3,Saint Paul,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
1974,2892475354,2024-01-10,6098,1391,2,1,4,Carson City,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1
1910,4984217380,2023-12-27,1307,1560,2,0,5,Albany,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2000,4796420659,2023-12-28,7841,1620,2,1,4,Frankfort,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0
2018,6292843165,2023-11-30,10376,1943,2,2,2,Dover,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1
1975,2727107811,2023-12-21,61855,3182,5,3,6,Carson City,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
2013,4085014275,2024-01-12,2688,2400,3,1,3,Harrisburg,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0
1951,6021225010,2024-01-16,6882,1225,1,0,2,Richmond,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
1989,3985214371,2023-12-29,42689,4733,4,2,4,Harrisburg,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0
2015,7808380626,2024-01-05,6098,3314,5,2,5,Little Rock,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
1985,5568560897,2023-11-30,4792,1064,2,0,3,Dover,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1957,3483921135,2024-01-12,8712,1092,1,0,3,Harrisburg,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
1999,6000992752,2024-01-08,1124,2172,4,2,4,Atlanta,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1938,2680165074,2024-01-10,43560,1208,1,0,2,Olympia,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
2023,9298040019,2024-01-12,7200,3391,4,3,5,Sacramento,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1999,3517114695,2023-12-19,145490,1250,2,0,3,Frankfort,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1978,7899123899,2024-01-01,26136,1500,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2006,6452331770,2024-01-12,5663,2400,3,2,3,Atlanta,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
1985,3676179313,2023-10-02,11047,2561,3,2,4,Columbus,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
2001,5686912424,2024-01-16,8276,1002,2,0,3,Richmond,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
1998,5760074151,2024-01-16,50094,2857,3,2,3,Raleigh,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
1896,7447593323,2024-01-02,13939,6761,6,2,8,Madison,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1954,4833837899,2023-12-16,6970,1360,1,2,2,Indianapolis,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1967,8656536510,2024-01-08,12632,1892,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1964,8352509580,2024-01-05,16553,2349,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995,9519646262,2024-01-12,13504,3521,3,4,3,Madison,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1
1952,5712337762,2024-01-16,8472,1481,2,0,4,Richmond,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
2019,9109689963,2024-01-11,5227,1246,2,0,3,Raleigh,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1912,7021124934,2024-01-12,2788,1517,1,0,4,Saint Paul,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1
2003,3621895033,2023-12-27,25265,2376,2,2,3,Indianapolis,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
1935,9536548761,2024-01-12,6297,526,1,0,1,Boston,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
1953,7040035214,2024-01-09,5706,1133,2,0,3,Saint Paul,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2005,5529662497,2024-01-16,6534,3115,3,2,4,Raleigh,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1927,2309741759,2024-01-16,4848,1727,2,2,3,Sacramento,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0
1989,4188477710,2024-01-11,436,1050,1,0,2,Albany,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
2001,8426516593,2024-01-05,6534,1742,2,2,3,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
2023,9299162853,2024-01-11,1947,1540,3,2,3,Sacramento,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0
1940,3277444703,2023-09-05,3485,1038,1,1,2,Indianapolis,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
1973,3680024339,2024-01-12,6098,1428,2,1,3,Menands,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
1913,7822400263,2024-01-16,4879,1379,2,2,3,Saint Paul,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1945,9438857823,2024-01-08,313632,3092,3,0,3,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1959,8164771985,2024-01-10,14702,1083,2,2,3,Des Moines,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
1956,2282094344,2023-12-22,7410,2155,2,0,5,Phoenix,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2000,7785709635,2024-01-10,8712,2340,3,2,4,Little Rock,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
1925,5850675484,2023-12-21,2461,1380,1,0,4,Trenton,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2008,5989015160,2024-01-08,8930,1363,2,2,2,Atlanta,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1
1920,7580597887,2024-01-05,6970,1428,1,0,3,Little Rock,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1900,6784282877,2023-12-06,2033,1824,1,0,5,Trenton,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1969,5842608828,2024-01-11,66777,1378,2,0,3,Henrico,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
2005,5208882615,2023-12-28,4678,1734,3,1,3,Dover,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1965,1600451617,2023-12-22,1213,1120,2,0,2,Phoenix,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2015,1727013083,2023-11-15,4370,3563,4,2,4,Denver,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1875,3816697779,2024-01-11,29621,2966,2,0,4,Harrisburg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1950,4250401600,2024-01-05,8712,1540,1,1,4,Hartford,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1972,3351008102,2023-10-20,7865,2004,3,2,4,Columbus,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0
1955,8239445138,2024-01-12,6970,785,1,0,2,Lincoln,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1952,4078885635,2023-08-24,9583,2160,2,1,4,Indianapolis,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
1956,6204334109,2024-01-11,13068,2046,2,0,4,Atlanta,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
1971,5314315119,2024-01-11,10019,1512,3,0,4,Tallahassee,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1947,6854520038,2023-12-21,8030,1526,2,0,3,Annapolis,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
2005,4143386712,2024-01-12,6077,2461,3,2,4,Frankfort,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
2005,7176024507,2024-01-12,4356,1975,3,2,4,Madison,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1930,1496394281,2023-12-18,4792,1577,1,1,4,Carson City,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1
1959,3029367250,2023-10-05,7841,957,1,1,3,Lawrence,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1971,5314315119,2024-01-11,10019,1512,3,0,4,Tallahassee,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1969,8053708531,2024-01-12,8985,2740,3,2,4,Lincoln,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0
1986,6665149008,2024-01-12,11282,1788,2,0,4,Highland Springs,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0
1978,2244383594,2024-01-11,6399,1378,2,2,4,Sacramento,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
1979,1448589872,2024-01-11,7841,2160,4,11,4,Salem,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1929,4252012962,2023-12-29,4966,882,1,0,2,Lansing,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1
1915,5659664478,2024-01-16,8712,4179,5,0,6,Raleigh,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
2015,7205802043,2024-01-15,7085,2683,3,3,4,Lincoln,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0
1900,7147550607,2024-01-09,8407,1844,2,1,4,Saint Paul,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2018,7015557021,2024-01-05,3902,1200,2,2,2,Lincoln,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1
1967,5370120180,2024-01-10,11761,1973,3,1,4,Raleigh,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1992,3613732966,2023-11-13,4792,1475,2,2,3,Columbus,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0
1961,6407702122,2023-12-13,5998,1064,2,1,2,Hamilton,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1997,6592350617,2024-01-12,41382,1222,2,2,3,Tallahassee,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0
1914,5323600147,2023-12-22,1412,1101,1,0,3,Trenton,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
2008,8177446777,2024-01-08,9845,1761,3,2,3,Des Moines,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
2015,7205802043,2024-01-15,7085,2683,3,3,4,Lincoln,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0
1996,5679861396,2024-01-12,14375,1952,3,2,4,Raleigh,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0
2004,8782779002,2024-01-04,9583,2488,2,2,3,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
1947,7880325875,2024-01-08,4400,720,2,1,2,Saint Paul,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1
1945,3318283130,2024-01-12,10454,999,1,1,2,Boston,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1992,8237977490,2024-01-12,40511,2985,4,2,4,Edmond,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
1967,1732525693,2023-12-28,9740,3384,3,2,4,Denver,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
2005,6369349598,2024-01-11,8276,2045,3,2,3,Tallahassee,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
1965,1568021533,2023-12-19,7841,1669,3,2,4,Carson City,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1
1981,5769551073,2024-01-16,125453,1502,2,2,3,Raleigh,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
2005,6135998795,2024-01-10,3485,1832,3,2,3,Raleigh,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0
1919,9425498739,2024-01-11,2322,2313,2,0,3,Richmond,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
1978,1652273104,2024-01-02,88867,2002,3,4,4,Olympia,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
1975,2521298343,2023-12-15,1307,1240,2,0,2,Carson City,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2007,9774716745,2023-12-06,21970,4182,4,4,3,Dover,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
1993,2989298877,2023-12-26,5528,1350,2,2,3,Phoenix,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
1986,2260911850,2024-01-11,10659,1440,2,2,2,Olympia,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
1920,9658621486,2024-01-03,4857,2062,2,2,6,Providence,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1981,5413862173,2024-01-12,42689,2878,3,3,3,Raleigh,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
2002,5917772828,2024-01-11,2178,1507,3,1,3,Atlanta,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0
1960,8170221036,2024-01-05,11021,1911,3,2,3,Des Moines,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
1951,3047981848,2024-01-02,8712,1810,2,0,3,Hartford,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1999,6403304649,2024-01-11,12632,1137,2,0,3,Tallahassee,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1953,6022099309,2024-01-09,15483,1848,2,0,4,Annapolis,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1
1974,9099119141,2024-01-12,740520,3339,3,0,3,Montgomery,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
1965,6823866615,2023-12-29,11165,1100,2,1,4,Annapolis,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0
1952,4191728039,2024-01-02,12632,2250,2,0,3,Lansing,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1
2016,7384935331,2024-01-12,6094,1729,2,2,3,Edmond,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
2002,8631876055,2024-01-12,10350,2427,2,3,3,Edmond,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
2016,2211465415,2024-01-05,6004,1564,2,2,3,Olympia,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1967,1520882532,2023-12-26,6810,1576,2,0,3,Phoenix,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1920,9993679106,2024-01-03,5000,1574,2,1,3,Providence,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
1986,3421931060,2023-12-22,2614,936,2,1,2,Indianapolis,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
1900,5924166673,2024-01-11,4090,2535,3,2,3,Richmond,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0
1973,1851229398,2024-01-09,7405,1956,2,2,3,Carson City,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
1910,5157172037,2023-12-18,1612,1358,2,0,4,Trenton,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2019,7456744662,2024-01-16,5532,1323,3,2,4,Des Moines,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1965,3106457552,2024-01-10,8276,1486,2,0,3,Harrisburg,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2011,1823433926,2023-11-02,4275,3529,4,2,4,Denver,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1955,2429782422,2023-12-26,11326,2700,3,2,4,Phoenix,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0
2001,8426516593,2024-01-05,6534,1742,2,2,3,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
2005,6369349598,2024-01-11,8276,2045,3,2,3,Tallahassee,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
2023,9883552096,2024-01-12,10019,2147,3,3,3,Oklahoma City,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
1854,4488497956,2024-01-09,3400,1666,2,2,3,Providence,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1
2004,6773104713,2023-12-13,14504,3085,3,0,5,Dover,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
1929,3543135527,2024-01-05,21366,6551,5,2,6,Providence,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
2003,4947503211,2023-12-15,13068,2595,3,2,3,Indianapolis,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
1967,5370120180,2024-01-10,11761,1973,3,1,4,Raleigh,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1985,1428251229,2024-01-12,6098,1433,2,2,3,Sacramento,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0
1930,7689000356,2024-01-02,6534,584,1,1,1,Madison,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
2004,3917940202,2023-12-19,11238,2132,3,2,3,Frankfort,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0
1951,3047981848,2024-01-02,8712,1810,2,0,3,Hartford,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1971,1012598554,2023-12-22,6534,1056,2,2,3,Carson City,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1974,2627887407,2024-01-16,7266,1845,3,2,4,Sacramento,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
1962,4789737064,2023-10-13,6534,1044,1,1,3,Indianapolis,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1974,7525447869,2024-01-11,10454,1956,2,2,3,Lincoln,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0
1967,8164375970,2023-12-11,12480,2034,2,0,4,Nashville,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
