,year_built,permalink,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
50,1975,729-Ledyard-Pl_Montgomery_AL_36109_M81829-35020,169900.0,8182935020,2962227212,https://ap.rdcpix.com/c51a6a656aece95d96a00d160fb8be87l-m364873135s-w1024_h768.jpg,2024-01-08,172500.0,11326,1699,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
51,1962,540-Seibles-Rd_Montgomery_AL_36116_M74638-46561,159000.0,7463846561,2960840384,https://ap.rdcpix.com/8475783f8e68aa2647f11714670c67bal-m3352885094s-w1024_h768.jpg,2024-01-08,150000.0,67954,1833,2,2,3,36116,Alabama,Montgomery,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
52,1945,7370-Narrow-Lane-Rd_Montgomery_AL_36116_M94388-57823,180000.0,9438857823,2959489307,https://ap.rdcpix.com/db0008abd1e8694dbc1a432cca961a96l-m3474430148s-w1024_h768.jpg,2024-01-08,170000.0,313632,3092,3,0,3,36116,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
53,1957,4006-Marquette-Dr_Montgomery_AL_36109_M81639-98846,125000.0,8163998846,2961396128,https://ap.rdcpix.com/98113967cb2fcc6a2b9a4e48c6e7cc2dl-m4232325385s-w1024_h768.jpg,2024-01-05,125000.0,12632,1380,1,0,3,36109,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
54,1984,6032-Bolingbrook-Dr_Montgomery_AL_36117_M89657-92046,180000.0,8965792046,2961496687,https://ap.rdcpix.com/99a9502de91720e504c50e34162433f8l-m3674213732s-w1024_h768.jpg,2024-01-05,162000.0,6098,1539,2,0,3,36117,Alabama,Montgomery,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
55,1950,2802-Cherry-St_Montgomery_AL_36107_M82105-00445,118900.0,8210500445,2961489340,https://ap.rdcpix.com/d617c4e73f24e51446b05f256c1ae38bl-m1962391460s-w1024_h768.jpg,2024-01-05,111200.0,8276,1178,2,0,3,36107,Alabama,Montgomery,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1
56,1948,2938-McQueen-St_Montgomery_AL_36107_M77933-45485,65000.0,7793345485,2961378333,https://ap.rdcpix.com/f2bc151cdcbd7e543f822bf008e864c2l-m1658512148s-w1024_h768.jpg,2024-01-05,63000.0,7405,1290,1,1,3,36107,Alabama,Montgomery,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
57,1964,3010-Merrimac-Dr_Montgomery_AL_36111_M83525-09580,110000.0,8352509580,2960801836,https://ap.rdcpix.com/c704f914e5df95fd8f584bce195392ccl-m2962031652s-w1024_h768.jpg,2024-01-05,106000.0,16553,2349,2,0,4,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,2001,8087-Ansley-Trce_Montgomery_AL_36117_M84265-16593,249000.0,8426516593,2960634023,https://ap.rdcpix.com/f889213d9dfd57b59f59fa63154356b7l-m3228417647s-w1024_h768.jpg,2024-01-05,245000.0,6534,1742,2,2,3,36117,Alabama,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
59,1989,9719-Rosalie-Dr_Montgomery_AL_36117_M80733-35883,420000.0,8073335883,2958470414,https://ap.rdcpix.com/2ac61710111ba698b9acd456826038b7l-m1097976753s-w1024_h768.jpg,2024-01-05,310000.0,22651,3137,3,0,4,36117,Alabama,Montgomery,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
